timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3,thermistor
1743795015.0027928,,,,,,,,,,,,,nan,286064480.0,nan,
1743795015.0066981,904.17584,800.6227,808.68134,1136.6666,nan,nan,,,,,,,,,,
1743795015.0106032,54.798534,786.9231,796.1905,1072.6007,nan,nan,,,,,,,,,,
1743795015.0145082,789.7436,761.9414,786.52014,556.04395,nan,nan,,,,,,,,,,
1743795015.0184131,0.0,784.10254,777.25275,496.8132,nan,nan,,,,,,,,,,
1743795015.0184143,,,,,,,,,,,,,nan,286132960.0,nan,
1743795015.0223181,566.9231,848.97437,809.0842,963.4066,nan,nan,,,,,,,,,,
1743795015.0262232,20.952381,863.47986,836.8865,1139.4872,nan,nan,,,,,,,,,,
1743795015.0301282,1172.9304,786.1172,805.8608,709.5604,nan,nan,,,,,,,,,,
1743795015.0340331,10.879121,751.8681,790.9524,448.0586,nan,nan,,,,,,,,,,
1743795015.0340354,,,,,,,,,,,,,nan,286155520.0,nan,
1743795015.0379381,263.9194,781.28204,812.71063,874.7619,nan,nan,,,,,,,,,,
1743795015.0418432,1438.8645,821.978,819.9634,1222.4908,nan,nan,,,,,,,,,,
1743795015.0457482,1400.1831,803.0403,804.65204,866.30035,nan,nan,,,,,,,,,,
1743795015.0496531,245.78755,778.0586,789.7436,444.0293,nan,nan,,,,,,,,,,
1743795015.0496569,,,,,,,,,,,,,nan,286128930.0,nan,
1743795015.0535581,57.216118,814.7253,795.38464,665.2381,nan,nan,,,,,,,,,,
1743795015.0574632,1130.2197,840.10986,806.6667,1107.6556,nan,nan,,,,,,,,,,
1743795015.0613682,1632.2711,811.0989,761.13556,961.79486,nan,nan,,,,,,,,,,
1743795015.0652730,609.6337,754.68866,768.7912,473.44324,nan,nan,,,,,,,,,,
1743795015.0652783,,,,,,,,,,,,,nan,286103970.0,nan,
1743795015.0691781,0.0,776.4469,837.6923,571.75824,nan,nan,,,,,,,,,,
1743795015.0698624,,,,,,,-0.50775146,0.057678223,0.8651123,,,,,,,
1743795015.0730832,883.6264,863.0769,845.7509,1106.4469,nan,nan,,,,,,,,,,
1743795015.0769882,104.7619,827.2161,834.4689,1123.37,nan,nan,,,,,,,,,,
1743795015.0808930,925.5311,743.00366,811.0989,576.5934,nan,nan,,,,,,,,,,
1743795015.0808997,,,,,,,,,,,,,nan,286086240.0,nan,
1743795015.0847981,0.0,778.0586,798.60803,462.56412,nan,nan,,,,,,,,,,
1743795015.0887032,538.315,824.7985,809.4872,974.2857,nan,nan,,,,,,,,,,
1743795015.0894656,,,,,,,-0.50372314,0.05718994,0.86260986,,,,,,,
1743795015.0926082,5.6410255,825.6044,810.293,1154.7986,nan,nan,,,,,,,,,,
1743795015.0965130,1324.4323,806.6667,796.99634,729.304,nan,nan,,,,,,,,,,
1743795015.0965209,,,,,,,,,,,,,nan,286094270.0,nan,
1743795015.0995383,,,,,,,,,,1610915.8,1609304.0,,,,,
1743795015.1004181,123.2967,788.5348,776.8498,418.64468,nan,nan,,,,,,,,,,
1743795015.1043231,330.0,830.84247,783.2967,786.52014,nan,nan,,,,,,,,,,
1743795015.1082282,1494.0659,857.8388,802.6374,1199.9268,nan,nan,,,,,,,,,,
1743795015.1090689,,,,,,,-0.50878906,0.059814453,0.86138916,,,,,,,
1743795015.1121330,1579.0842,808.68134,800.6227,906.1905,nan,nan,,,,,,,,,,
1743795015.1121423,,,,,,,,,,,,,nan,286157150.0,nan,
1743795015.1160381,482.30768,722.0513,787.326,462.96704,nan,nan,,,,,,,,,,
1743795015.1199431,120.47619,745.42126,797.8022,673.2967,nan,nan,,,,,,,,,,
1743795015.1238482,1199.9268,839.304,812.71063,1134.652,nan,nan,,,,,,,,,,
1743795015.1277530,64.468864,813.91943,811.9048,1014.57874,nan,nan,,,,,,,,,,
1743795015.1277637,,,,,,,,,,,,,nan,286115230.0,nan,
1743795015.1286721,,,,,,,-0.5124512,0.068237305,0.8633423,,,,,,,
1743795015.1316581,776.4469,764.35895,821.1722,537.50916,nan,nan,,,,,,,,,,
1743795015.1346667,,,,,,,,,,1611721.6,1609304.0,,,,,
1743795015.1355631,0.0,777.25275,814.7253,562.49084,nan,nan,,,,,,,,,,
1743795015.1394682,838.49817,832.8571,808.2784,1049.2307,nan,nan,,,,,,,,,,
