timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,thermistor,ppg_1,ppg_2,ppg_3
1743805549.7692437,,,,,,,,,,,,,29.118889,,,
1743805549.8355877,,,,,,,,,,,,,29.08026,,,
1743805549.9019320,,,,,,,,,,,,,29.099573,,,
1743805549.9682760,,,,,,,,,,,,,29.099573,,,
1743805550.0206983,793.36993,799.81683,788.93774,771.2088,nan,nan,,,,,,,,,,
1743805550.0246036,826.0073,826.4103,816.337,815.5311,nan,nan,,,,,,,,,,
1743805550.0285087,816.337,794.57874,801.4286,815.5311,nan,nan,,,,,,,,,,
1743805550.0324140,777.25275,768.7912,779.2674,775.2381,nan,nan,,,,,,,,,,
1743805550.0346200,,,,,,,,,,,,,29.118889,,,
1743805550.0363193,774.83514,794.57874,792.96704,764.7619,nan,nan,,,,,,,,,,
1743805550.0402243,788.5348,832.4542,811.9048,795.38464,nan,nan,,,,,,,,,,
1743805550.0441296,797.8022,817.5458,803.0403,823.9927,nan,nan,,,,,,,,,,
1743805550.0461307,,,,,,,-0.18066406,0.074401855,0.9901123,,,,,,,
1743805550.0480349,773.22345,765.56775,783.2967,787.72894,nan,nan,,,,,,,,,,
1743805550.0519400,755.89746,769.59705,784.5055,751.8681,nan,nan,,,,,,,,,,
1743805550.0558453,787.326,814.7253,803.8461,791.3553,nan,nan,,,,,,,,,,
1743805550.0597506,804.2491,816.337,808.2784,826.0073,nan,nan,,,,,,,,,,
1743805550.0611269,,,,,,,,,,,,,,nan,286682560.0,nan
1743805550.0636559,784.5055,767.98535,787.326,798.20514,nan,nan,,,,,,,,,,
1743805550.0657389,,,,,,,-0.18450928,0.07470703,0.9921875,,,,,,,
1743805550.0675609,767.98535,768.7912,780.4762,764.7619,nan,nan,,,,,,,,,,
1743805550.0714662,784.90845,807.47253,803.8461,780.87915,nan,nan,,,,,,,,,,
1743805550.0753715,818.7546,810.696,815.5311,809.4872,nan,nan,,,,,,,,,,
1743805550.0767465,,,,,,,,,,,,,,nan,286667260.0,nan
1743805550.0792766,804.2491,782.0879,797.8022,805.05493,nan,nan,,,,,,,,,,
1743805550.0831819,774.43225,763.95605,779.2674,775.2381,nan,nan,,,,,,,,,,
1743805550.0853469,,,,,,,-0.18670654,0.07696533,0.9901123,,,,,,,
1743805550.0870872,796.1905,809.4872,800.6227,770.40295,nan,nan,,,,,,,,,,
1743805550.0909922,825.2015,823.9927,815.5311,792.96704,nan,nan,,,,,,,,,,
1743805550.0923662,,,,,,,,,,,,,,nan,286660800.0,nan
1743805550.0948975,811.50183,806.26373,796.99634,802.6374,nan,nan,,,,,,,,,,
1743805550.0988028,784.10254,777.25275,778.0586,774.43225,nan,nan,,,,,,,,,,
1743805550.1009643,,,,,,,,,,,,,29.099573,,,
1743805550.1027079,786.9231,772.01465,783.69965,765.16486,nan,nan,,,,,,,,,,
1743805550.1049552,,,,,,,-0.18432617,0.078430176,0.9857788,,,,,,,
1743805550.1066132,803.44324,825.2015,808.2784,792.5641,nan,nan,,,,,,,,,,
1743805550.1079857,,,,,,,,,,,,,,nan,286581820.0,nan
1743805550.1105185,810.293,817.1429,810.696,817.9487,nan,nan,,,,,,,,,,
1743805550.1144235,784.10254,772.8205,787.326,799.81683,nan,nan,,,,,,,,,,
1743805550.1183288,760.32965,781.28204,778.86444,765.9707,nan,nan,,,,,,,,,,
1743805550.1222341,785.7143,815.5311,798.60803,787.72894,nan,nan,,,,,,,,,,
1743805550.1236053,,,,,,,,,,,,,,nan,286542340.0,nan
