timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3,thermistor
1743794571.0601857,,,,,,,0.019042969,0.1184082,1.007019,,,,,,,
1743794571.0730319,797.8022,799.41394,799.41394,797.3993,nan,nan,,,,,,,,,,
1743794571.0769358,801.8315,784.10254,793.36993,808.2784,nan,nan,,,,,,,,,,
1743794571.0797963,,,,,,,0.021118164,0.11663818,1.0061646,,,,,,,
1743794571.0808399,782.49084,790.14655,792.1612,794.9817,nan,nan,,,,,,,,,,
1743794571.0847437,776.8498,802.6374,799.81683,778.46155,nan,nan,,,,,,,,,,
1743794571.0886476,788.5348,805.4579,799.011,782.8938,nan,nan,,,,,,,,,,
1743794571.0925517,800.6227,807.47253,799.41394,798.60803,nan,nan,,,,,,,,,,
1743794571.0964556,790.9524,796.5934,798.20514,797.3993,nan,nan,,,,,,,,,,
1743794571.0994067,,,,,,,0.014709473,0.11981201,1.0050659,,,,,,,
1743794571.1003594,771.2088,792.1612,798.60803,792.5641,nan,nan,,,,,,,,,,
1743794571.1032121,,,,,,,,,,1610915.8,1608498.1,,,,,
1743794571.1042633,782.49084,789.7436,800.6227,794.9817,nan,nan,,,,,,,,,,
1743794571.1081674,812.3077,796.1905,803.0403,813.5165,nan,nan,,,,,,,,,,
1743794571.1120713,811.0989,791.3553,810.696,832.8571,nan,nan,,,,,,,,,,
1743794571.1159751,782.8938,799.011,814.3223,821.978,nan,nan,,,,,,,,,,
1743794571.1161287,,,,,,,,,,,,,nan,280903740.0,nan,
1743794571.1190174,,,,,,,0.015808105,0.115356445,1.007019,,,,,,,
1743794571.1198792,777.25275,807.0696,812.3077,811.0989,nan,nan,,,,,,,,,,
1743794571.1237831,807.47253,799.81683,815.5311,835.6777,nan,nan,,,,,,,,,,
1743794571.1276870,817.9487,797.8022,819.9634,841.7216,nan,nan,,,,,,,,,,
1743794571.1315911,784.90845,785.7143,816.7399,813.1135,nan,nan,,,,,,,,,,
1743794571.1317425,,,,,,,,,,,,,nan,280910980.0,nan,
1743794571.1354949,778.0586,797.8022,812.71063,803.44324,nan,nan,,,,,,,,,,
1743794571.1383333,,,,,,,,,,1610915.8,1609304.0,,,,,
1743794571.1386280,,,,,,,0.017578125,0.118774414,1.0046997,,,,,,,
1743794571.1393988,799.011,821.1722,812.71063,811.0989,nan,nan,,,,,,,,,,
1743794571.1433029,809.0842,814.3223,816.337,813.1135,nan,nan,,,,,,,,,,
1743794571.1472068,788.93774,805.05493,813.5165,804.65204,nan,nan,,,,,,,,,,
1743794571.1473565,,,,,,,,,,,,,nan,280885220.0,nan,
1743794571.1511106,771.2088,818.7546,815.12823,799.41394,nan,nan,,,,,,,,,,
1743794571.1550145,788.93774,806.6667,810.293,809.0842,nan,nan,,,,,,,,,,
1743794571.1582384,,,,,,,0.013549805,0.11602783,1.0059204,,,,,,,
1743794571.1589186,807.47253,795.78754,809.0842,820.7692,nan,nan,,,,,,,,,,
1743794571.1628225,787.72894,797.3993,807.0696,817.9487,nan,nan,,,,,,,,,,
1743794571.1629703,,,,,,,,,,,,,nan,280801380.0,nan,
1743794571.1667264,774.43225,802.23444,804.65204,800.2198,nan,nan,,,,,,,,,,
1743794571.1706305,792.5641,808.68134,813.91943,808.68134,nan,nan,,,,,,,,,,
1743794571.1734545,,,,,,,,,,1611721.6,1609304.0,,,,,
1743794571.1745343,817.5458,812.71063,816.337,840.10986,nan,nan,,,,,,,,,,
1743794571.1778491,,,,,,,0.011108398,0.11828613,1.0037842,,,,,,,
1743794571.1784382,814.7253,805.8608,812.3077,832.4542,nan,nan,,,,,,,,,,
1743794571.1785843,,,,,,,,,,,,,nan,280832000.0,nan,
1743794571.1823423,788.5348,815.5311,815.5311,813.91943,nan,nan,,,,,,,,,,
