timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,thermistor,ppg_1,ppg_2,ppg_3
1743795373.9935904,,,,,,,,,,,,,35.131683,,,
1743795374.0598190,,,,,,,,,,,,,35.131683,,,
1743795374.1260476,,,,,,,,,,,,,35.11193,,,
1743795374.1922762,,,,,,,,,,,,,35.092182,,,
1743795374.2402971,,,,,,,,,,1610109.9,1608498.1,,,,,
1743795374.2585049,,,,,,,,,,,,,35.11193,,,
1743795374.2754056,,,,,,,,,,1610109.9,1609304.0,,,,,
1743795374.3105142,,,,,,,,,,1610109.9,1608498.1,,,,,
1743795374.3115914,,,,,,,-0.053100586,0.105407715,1.0065918,,,,,,,
1743795374.3196993,777.6557,809.0842,804.2491,728.0952,nan,nan,,,,,,,,,,
1743795374.3236015,825.6044,800.2198,814.3223,842.52747,nan,nan,,,,,,,,,,
1743795374.3247335,,,,,,,,,,,,,35.11193,,,
1743795374.3275037,845.34796,784.5055,813.1135,902.96704,nan,nan,,,,,,,,,,
1743795374.3277283,,,,,,,,,,,,,,nan,307036200.0,nan
1743795374.3312044,,,,,,,-0.054626465,0.10992432,1.0122681,,,,,,,
1743795374.3314059,791.75824,790.54944,803.8461,779.2674,nan,nan,,,,,,,,,,
1743795374.3353078,778.0586,803.0403,800.2198,710.3663,nan,nan,,,,,,,,,,
1743795374.3392100,803.44324,796.99634,792.1612,803.8461,nan,nan,,,,,,,,,,
1743795374.3431122,832.4542,792.1612,798.20514,896.52014,nan,nan,,,,,,,,,,
1743795374.3433332,,,,,,,,,,,,,,nan,306980580.0,nan
1743795374.3456228,,,,,,,,,,1610109.9,1608498.1,,,,,
1743795374.3470144,798.60803,778.46155,803.44324,824.7985,nan,nan,,,,,,,,,,
1743795374.3508174,,,,,,,-0.055541992,0.109191895,1.0098877,,,,,,,
1743795374.3509166,763.5531,787.72894,795.78754,722.0513,nan,nan,,,,,,,,,,
1743795374.3548188,794.9817,792.1612,796.5934,783.2967,nan,nan,,,,,,,,,,
1743795374.3587210,833.663,790.14655,803.0403,883.6264,nan,nan,,,,,,,,,,
1743795374.3589385,,,,,,,,,,,,,,nan,306995100.0,nan
